date	avg_temp	max_temp	min_temp	supply_mj	supply_m3
2013-05-13	24.6	33.1	16.8	85658630	
2013-05-14	23.1	30.4	15.1	90189533	
2013-05-15	21	28.8	14.9	89854977	
2013-05-16	15.3	18.9	13.7	92267174	
2013-05-17	17.7	23.9	13.8	85640151	
2013-05-18	19.8	26.6	11.6	81094117	
2013-05-19	17.6	21.3	15.5	68227995	
2013-05-20	20.3	27	15.7	85769119	
2013-05-21	21.6	30	12.3	89765380	
2013-05-22	23.6	31.1	15.8	90973155	
2013-05-23	23.9	31.8	16.8	90746573	
2013-05-24	26.3	34.4	17.5	90616573	
2013-05-25	23.3	31	17.9	81046887	
2013-05-26	23.7	30.4	16.7	63519715	
2013-05-27	21.2	25.7	18.8	86180069	
2013-05-28	20.9	24.1	18.1	92689437	
2013-05-29	21.4	25.2	19.3	90691261	
2013-05-30	22.6	29.1	17.2	88994099	
2013-05-31	21.5	27.3	16	88848934	
2013-06-01	21.8	26.9	17.4	78712911	
2013-06-02	21.6	27.4	16.7	59930422	
2013-06-03	22.5	29.8	15	84619384	
2013-06-04	24.8	31.4	17.3	89214767	
2013-06-05	25.6	32.2	19.1	88946010	
2013-06-06	22.5	31.6	17.6	82612672	
2013-06-07	22.4	28.5	18.3	86315029	
2013-06-08	22.5	28.4	18	75255612	
2013-06-09	22.2	26.6	19.2	58782485	
2013-06-10	22.3	27.2	18.6	84036750	
2013-06-11	20.5	23.2	19.1	89316368	
2013-06-12	23.1	27.2	19.2	90811512	
2013-06-13	25	29	21.9	88924815	
2013-06-14	22.9	26.5	20.9	88751043	
2013-06-15	27.5	33.6	21.9	77619225	
2013-06-16	28.6	34.4	23.8	59226327	
2013-06-17	27.1	31.4	23.3	82219498	
2013-06-18	24.7	27	23	88459346	
2013-06-19	25.7	31.8	21.7	87620051	
2013-06-20	27.3	33.4	22.9	88144957	
2013-06-21	24.8	26.6	23.4	87106656	
2013-06-22	24.2	28.4	21.3	75210841	
2013-06-23	23.2	27.1	21.5	58897763	
2013-06-24	25.3	30.3	19.9	81513444	
2013-06-25	24.3	30.2	21.1	84769299	
2013-06-26	24	29.4	20.2	83082647	
2013-06-27	24.8	29.4	20.2	84414488	
2013-06-28	25.2	29.9	21.6	82782817	
2013-06-29	25.9	32.4	20.7	72813112	
2013-06-30	26.8	33.5	21.1	55667473	
2013-07-01	27.3	33.3	22.5	79082042	
2013-07-02	27.6	30.7	24.3	84737685	
2013-07-03	27.8	31.5	24.7	85350709	
2013-07-04	26.1	29	23.9	86113185	
2013-07-05	23.6	25.2	22.3	84207832	
2013-07-06	26.8	33	22.3	73037914	
2013-07-07	24.7	25.8	23.8	57103400	
2013-07-08	29.5	33.9	24.4	82566553	
2013-07-09	30	34.5	27.4	85326943	
2013-07-10	30.7	35.9	26.2	85766271	
2013-07-11	30.6	35.9	25.5	85087571	
2013-07-12	29.5	33.4	25.8	83429951	
2013-07-13	29.4	34.5	26.9	70522255	
2013-07-14	28.2	34.1	23.7	54630940	
2013-07-15	28.4	33.2	23.9	78320350	
2013-07-16	29.3	34.2	23.8	83239507	
2013-07-17	29.9	33.8	27.2	84027852	
2013-07-18	29.5	35.2	26.1	82736476	
2013-07-19	29.3	35.9	24	82089594	
2013-07-20	30	35	26.3	68888392	
2013-07-21	29.6	33.3	26.1	54492140	
2013-07-22	30.6	35.9	26.7	77778356	
2013-07-23	28.4	30.3	27	82440614	
2013-07-24	29.3	33.8	25.8	81076601	
2013-07-25	29.6	35.5	24.7	82116993	
2013-07-26	29.8	35.4	25.3	81170004	
2013-07-27	30	35.6	25.5	67590144	
2013-07-28	27.7	30.6	23.5	50207008	
2013-07-29	30.9	35.4	27.4	70301022	
2013-07-30	28.1	34.9	24.9	73626960	
2013-07-31	29	33.1	25.2	71404044	
2013-08-01	28.5	34.9	25.5	69177370	
2013-08-02	27.2	31.8	25.2	68002758	
2013-08-03	27.8	34.5	24.7	59319113	
2013-08-04	27.4	34.7	25.1	49186968	
2013-08-05	29.3	34.5	24.6	68790550	
2013-08-06	28.2	36.6	23.6	73679779	
2013-08-07	30	36.2	23.8	72894465	
2013-08-08	32.1	36.8	28.2	64692453	
2013-08-09	32.9	37.5	27.9	62277548	
2013-08-10	30.6	37.8	26.9	53577218	
2013-08-11	31.8	36.7	26.5	44695820	
2013-08-12	32.5	37.9	27.6	69256260	
2013-08-13	31.5	36.6	27.2	75265858	
2013-08-14	31.4	36.3	27.1	77902696	
2013-08-15	30.7	35.1	26.3	69077166	
2013-08-16	31	36.9	26.3	78291547	
2013-08-17	31.1	35.8	26.2	68475754	
2013-08-18	31.5	36.9	26.4	51148177	
2013-08-19	31.4	37.4	27.6	75820670	
2013-08-20	29.9	36.7	23.9	81226974	
